year,pop,secs
100,59,29
200,88,164
300,130,348
400,172,652
500,137,897
600,142,1170
700,123,1377
800,171,1531
900,148,1789
1000,140,2046
1100,100,2276
1200,126,2568
1300,126,2863
1400,139,3114
1500,153,3377
1600,122,3652
1700,194,3911
1800,153,4171
1900,159,4498
2000,165,4782
2100,154,5044
2200,163,5307
2300,207,5618
2400,188,5874
2500,204,6155
2600,95,6397
2700,122,6651
2800,155,6907
2900,166,7175
3000,182,7431
