year,pop,secs
100,64,32
200,121,136
300,145,359
400,176,648
500,144,934
600,162,1110
700,125,1402
800,121,1714
900,134,2006
1000,134,2279
1100,172,2559
1200,216,2913
1300,228,3296
1400,179,3638
1500,153,3928
1600,138,4206
1700,114,4528
1800,137,4728
1900,154,4980
2000,205,5328
2100,176,5694
2200,172,6008
2300,174,6294
2400,143,6558
2500,145,6861
2600,181,7185
2700,194,7558
2800,189,7978
2900,206,8369
3000,173,8770
