year,pop,secs
100,33,20
200,105,130
300,92,288
400,91,416
500,67,609
600,127,800
700,140,1045
800,139,1279
900,115,1463
1000,110,1687
1100,121,1922
1200,150,2123
1300,193,2438
1400,173,2683
1500,117,2906
1600,160,3126
1700,212,3449
1800,188,3803
1900,137,4181
2000,196,4500
2100,151,4814
2200,216,5129
2300,211,5446
2400,191,5766
2500,173,6123
2600,191,6566
2700,102,6916
2800,193,7214
2900,171,7546
3000,205,7926
