year,pop,secs
100,76,28
200,100,171
300,63,337
400,57,518
500,94,646
600,151,769
700,134,993
800,47,1184
900,82,1372
1000,155,1526
1100,126,1733
1200,171,1908
1300,171,2161
1400,192,2366
1500,61,2539
1600,141,2747
1700,172,3012
1800,164,3258
1900,184,3511
2000,154,3704
2100,133,3959
2200,119,4224
2300,83,4454
2400,131,4692
2500,165,4935
2600,139,5188
2700,131,5439
2800,128,5659
2900,143,5955
3000,59,6182
