year,pop,secs
100,30,19
200,131,202
300,160,508
400,149,829
500,194,1169
600,178,1510
700,177,1813
800,143,2106
900,204,2435
1000,128,2782
1100,98,3162
1200,110,3415
1300,125,3705
1400,130,3936
1500,160,4227
1600,172,4505
1700,117,4825
1800,147,5135
1900,202,5496
2000,210,5921
2100,180,6300
2200,161,6684
2300,122,7087
2400,143,7403
2500,106,7718
2600,167,8082
2700,121,8456
2800,154,8853
2900,210,9286
3000,218,9702
