year,pop,secs
100,60,33
200,164,284
300,148,585
400,106,893
500,153,1163
600,127,1450
700,131,1643
800,63,1905
900,182,2181
1000,144,2434
1100,153,2695
1200,131,2974
1300,112,3235
1400,191,3501
1500,134,3797
1600,120,4052
1700,94,4301
1800,119,4510
1900,60,4705
2000,81,4798
2100,108,4993
2200,91,5131
2300,143,5337
2400,81,5569
2500,83,5769
2600,95,5971
2700,133,6206
2800,88,6386
2900,120,6559
3000,119,6794
