year,pop,secs
100,41,20
200,121,93
300,116,317
400,77,517
500,73,666
600,131,830
700,84,1028
800,76,1146
900,100,1342
1000,104,1540
1100,141,1722
1200,109,1920
1300,150,2115
1400,102,2316
1500,112,2494
1600,155,2690
1700,137,2916
1800,168,3217
1900,89,3473
2000,159,3723
2100,94,3992
2200,68,4215
2300,85,4470
2400,62,4700
2500,151,4986
2600,99,5253
2700,114,5562
2800,160,5902
2900,170,6173
3000,147,6452
