year,pop,secs
100,89,29
200,105,173
300,164,378
400,161,645
500,106,882
600,120,1001
700,109,1243
800,137,1522
900,132,1773
1000,89,2026
1100,133,2243
1200,140,2480
1300,185,2710
1400,190,2999
1500,141,3277
1600,121,3520
1700,88,3778
1800,110,3977
1900,106,4192
2000,137,4448
2100,129,4708
2200,150,4944
2300,139,5195
2400,153,5476
2500,117,5741
2600,105,5990
2700,149,6199
2800,130,6492
2900,178,6755
3000,144,7011
