year,pop,secs
100,59,29
200,90,180
300,95,373
400,65,502
500,32,621
600,95,759
700,71,938
800,70,1135
900,95,1280
1000,60,1479
1100,54,1638
1200,64,1848
1300,80,2045
1400,84,2201
1500,79,2394
1600,104,2586
1700,72,2767
1800,46,2901
1900,89,3046
2000,95,3223
2100,103,3395
2200,83,3593
2300,50,3715
2400,83,3884
2500,85,4052
2600,66,4201
2700,75,4326
2800,74,4488
2900,86,4611
3000,92,4762
