year,pop,secs
100,39,25
200,80,85
300,67,200
400,139,381
500,157,713
600,128,1108
700,143,1426
800,180,1783
900,140,2116
1000,157,2430
1100,128,2723
1200,124,2994
1300,120,3287
1400,126,3624
1500,118,3989
1600,80,4170
1700,89,4327
1800,136,4575
1900,99,4791
2000,102,5086
2100,128,5340
2200,143,5568
2300,131,5847
2400,158,6092
2500,100,6477
2600,164,6873
2700,136,7292
2800,109,7605
2900,139,7921
3000,126,8216
