year,pop,secs
100,29,13
200,16,72
300,37,123
400,76,230
500,91,390
600,111,596
700,100,813
800,90,1026
900,83,1246
1000,62,1430
1100,101,1651
1200,91,1881
1300,96,2088
1400,117,2304
1500,132,2525
1600,112,2753
1700,114,2936
1800,96,3141
1900,107,3383
2000,129,3576
2100,119,3831
2200,112,4057
2300,106,4294
2400,76,4535
2500,91,4720
2600,137,4927
2700,127,5154
2800,97,5372
2900,109,5586
3000,100,5805
