year,pop,secs
100,73,35
200,68,159
300,108,285
400,67,484
500,115,705
600,79,959
700,190,1217
800,125,1527
900,104,1792
1000,136,2055
1100,150,2258
1200,121,2470
1300,110,2732
1400,73,2930
1500,167,3132
1600,158,3366
1700,145,3621
1800,140,3886
1900,177,4192
2000,183,4501
2100,180,4817
2200,144,5033
2300,99,5286
2400,128,5547
2500,114,5803
2600,70,6075
2700,95,6315
2800,183,6567
2900,191,6820
3000,94,7047
