year,pop,secs
100,59,24
200,130,213
300,150,393
400,79,584
500,77,752
600,93,958
700,99,1124
800,127,1297
900,152,1516
1000,114,1713
1100,130,1914
1200,116,2132
1300,114,2308
1400,96,2557
1500,123,2755
1600,95,2996
1700,145,3190
1800,137,3460
1900,119,3735
2000,110,3996
2100,54,4199
2200,113,4395
2300,114,4551
2400,137,4748
2500,142,4989
2600,88,5176
2700,81,5378
2800,69,5567
2900,116,5816
3000,108,6030
