year,pop,secs
100,61,27
200,107,210
300,153,398
400,171,661
500,83,844
600,38,974
700,122,1087
800,147,1287
900,136,1479
1000,109,1695
1100,108,1841
1200,93,1994
1300,153,2216
1400,111,2400
1500,126,2602
1600,124,2819
1700,144,3016
1800,80,3220
1900,73,3384
2000,121,3527
2100,125,3749
2200,63,3896
2300,83,4075
2400,86,4247
2500,107,4423
2600,76,4586
2700,83,4775
2800,131,4995
2900,98,5173
3000,59,5332
