year,pop,secs
100,28,14
200,77,67
300,109,250
400,94,427
500,83,546
600,90,700
700,144,839
800,92,1026
900,86,1210
1000,116,1408
1100,53,1573
1200,114,1764
1300,107,1949
1400,115,2084
1500,114,2254
1600,82,2376
1700,84,2569
1800,72,2741
1900,80,2937
2000,66,3065
2100,91,3206
2200,72,3347
2300,86,3558
2400,74,3763
2500,80,3895
2600,80,4058
2700,91,4273
2800,110,4515
2900,133,4739
3000,117,4950
