year,pop,secs
100,18,26
200,122,115
300,138,226
400,55,338
500,77,512
600,97,714
700,102,900
800,75,1093
900,104,1230
1000,151,1398
1100,98,1600
1200,81,1711
1300,66,1856
1400,50,2016
1500,68,2145
1600,72,2312
1700,75,2459
1800,130,2616
1900,83,2792
2000,95,3002
2100,100,3188
2200,124,3408
2300,117,3602
2400,105,3740
2500,95,3948
2600,108,4157
2700,105,4332
2800,85,4458
2900,139,4673
3000,143,4890
