year,pop,secs
100,12,9
200,68,47
300,92,111
400,155,263
500,157,434
600,138,613
700,111,845
800,153,1112
900,185,1449
1000,172,1778
1100,180,2129
1200,144,2448
1300,177,2668
1400,135,2947
1500,175,3207
1600,184,3521
1700,201,3772
1800,148,4021
1900,204,4364
2000,164,4660
2100,196,4912
2200,173,5249
2300,184,5568
2400,186,5851
2500,142,6171
2600,143,6496
2700,184,6808
2800,128,7124
2900,115,7444
3000,158,7721
