year,pop,secs
100,45,25
200,127,161
300,140,397
400,157,694
500,163,992
600,169,1337
700,146,1659
800,156,1975
900,157,2287
1000,52,2582
1100,70,2836
1200,106,3061
1300,108,3405
1400,124,3702
1500,107,4053
1600,137,4409
1700,161,4786
1800,77,5045
1900,122,5397
2000,143,5711
2100,158,6081
2200,205,6421
2300,179,6861
2400,110,7193
2500,91,7601
2600,180,8013
2700,183,8527
2800,227,8986
2900,215,9477
3000,197,9937
