pack,category,object,in_codex
"Polyart","Trees","Prefab_Birch_01",no
"Polyart","Trees","Prefab_Birch_02",no
"Polyart","Trees","Prefab_Birch_03",no
"Polyart","Trees","Prefab_Birch_03_Red",no
"Polyart","Trees","Prefab_Birch_04",no
"Polyart","Trees","Prefab_Birch_05",no
"Polyart","Trees","Prefab_TreeLarge_01",no
"Polyart","Trees","Prefab_TreeLarge_02",no
"Polyart","Trees","Prefab_TreeLarge_03",no
"Polyart","Trees","Prefab_TreeLarge_04",no
"Polyart","Water","Prefab_Foam",no
"Polyart","Water","Prefab_FoamTop",no
"Polyart","Water","Prefab_FoamVolumetric",no
"Polyart","Water","Prefab_WaterLake",no
"Polyart","Water","Prefab_WaterfallMain",no
"Polyart","Water","SM_WaterRiver",no
"UpDraftArt","Prefabs","Anvil",no
"UpDraftArt","Prefabs","Coal Pile",no
"UpDraftArt","Prefabs","Flat Tongs",no
"UpDraftArt","Prefabs","Small Hammer",no
"Vefects","Lights","VFX_Point_Light",no
"Vefects","Meshes","SM_VFX_Background_Plate_01",no
"Vefects","Particles","VFX_Fire_01_Big",no
"Vefects","Particles","VFX_Fire_01_Big_Simple",no
"Vefects","Particles","VFX_Fire_01_Big_Smoke",no
"Vefects","Particles","VFX_Fire_01_Medium",no
"Vefects","Particles","VFX_Fire_01_Medium_Simple",no
"Vefects","Particles","VFX_Fire_01_Medium_Smoke",no
"Vefects","Particles","VFX_Fire_01_Small",no
"Vefects","Particles","VFX_Fire_01_Small_Simple",no
"Vefects","Particles","VFX_Fire_01_Small_Smoke",no
"Vefects","Particles","VFX_Fire_Floor_01",no
"Vefects","Particles","VFX_Fire_Floor_01_Simple",no
"Vefects","Particles","VFX_Fire_Floor_01_Smoke",no
"Vefects","Particles","VFX_Fire_Floor_02",no
"Vefects","Particles","VFX_Fire_Floor_02_Simple",no
"Vefects","Particles","VFX_Fire_Floor_02_Smoke",no
"Vefects","Prefabs","VFX",no
"msVFX_Free Smoke Effects Pack","Prefabs","msVFX_Stylized Smoke 1",no
"msVFX_Free Smoke Effects Pack","Prefabs","msVFX_Stylized Smoke 2",no
"msVFX_Free Smoke Effects Pack","Prefabs","msVFX_Stylized Smoke 3",no
"msVFX_Free Smoke Effects Pack","Prefabs","msVFX_Stylized Smoke 4",no
