# pop-probe 97013 x 1200y on v18 d02bb1ee (A-arm, DJUPTID-OVERLEVNAD D-659) — every 40 years; cloud run 2026-09-01 20:2x–21:29Z
year,alive,aggPop,aggregates
40,16,0.0,0
80,43,0.0,0
120,64,0.0,0
160,71,11.0,1
200,74,0.0,0
240,73,0.0,0
280,76,7.0,1
320,75,0.0,0
360,69,0.0,0
400,73,0.0,0
440,76,0.0,0
480,71,0.0,0
520,74,0.0,0
560,71,12.0,1
600,79,0.0,0
640,70,0.0,0
680,75,8.0,1
720,76,0.0,0
760,78,0.0,0
800,73,8.0,1
840,76,0.0,0
880,82,1.0,1
920,87,4.0,2
960,79,0.0,0
1000,74,7.0,1
1040,79,4.0,1
1080,80,0.0,0
1120,76,5.0,1
1160,80,0.0,0
1200,82,1.0,1
# END year=1200 ended=false aggregates=[{"v":"Stenholm","c":[1,0,0,0],"bearers":15}]
# 335 flicker-years (max 12 souls) — governor-by-deletion; alive ~70-87. Contrast B-97013: ONE STABLE city ~100 souls-eq for 1060y AND alive 136 at y1200 — on this seed H0(a) produced a RICHER world (city + individuals) than v18's flicker.
